kaisai_nen,kaisai_tsukihi,keibajo_code,kaisai_kai,kaisai_nichime,race_bango,bet_type,combo,weight_pct,suggested_amount
2026,0919,06,04,05,01,馬連,9-1,53.1,5500
2026,0919,06,04,05,01,馬連,9-5,38.0,4000
2026,0919,06,04,05,01,馬連,9-3,8.9,1000
2026,0919,06,04,05,01,三連複,9-1-5,71.3,7000
2026,0919,06,04,05,01,三連複,9-1-3,16.7,1500
2026,0919,06,04,05,01,三連複,9-3-5,12.0,1000
2026,0919,06,04,05,02,馬連,4-3,46.0,4500
2026,0919,06,04,05,02,馬連,4-8,39.7,4000
2026,0919,06,04,05,02,馬連,4-7,14.3,1500
2026,0919,06,04,05,02,三連複,4-3-8,59.9,6000
2026,0919,06,04,05,02,三連複,4-3-7,21.5,2000
2026,0919,06,04,05,02,三連複,4-7-8,18.6,2000
2026,0919,06,04,05,03,馬連,5-9,28.1,3000
2026,0919,06,04,05,03,馬連,5-2,21.9,2000
2026,0919,06,04,05,03,馬連,5-10,6.5,500
2026,0919,06,04,05,03,馬連,5-11,29.1,3000
2026,0919,06,04,05,03,馬連,5-8,14.3,1500
2026,0919,06,04,05,03,三連複,5-2-9,16.2,1500
2026,0919,06,04,05,03,三連複,5-9-10,4.8,500
2026,0919,06,04,05,03,三連複,5-9-11,21.5,2000
2026,0919,06,04,05,03,三連複,5-8-9,10.6,1000
2026,0919,06,04,05,03,三連複,5-2-10,3.7,500
2026,0919,06,04,05,03,三連複,5-2-11,16.7,1500
2026,0919,06,04,05,03,三連複,5-2-8,8.2,1000
2026,0919,06,04,05,03,三連複,5-10-11,5.0,500
2026,0919,06,04,05,03,三連複,5-8-10,2.4,500
2026,0919,06,04,05,03,三連複,5-8-11,10.9,1000
2026,0919,06,04,05,04,馬連,10-2,26.4,2500
2026,0919,06,04,05,04,馬連,10-9,8.0,1000
2026,0919,06,04,05,04,馬連,10-3,8.5,1000
2026,0919,06,04,05,04,馬連,10-6,41.8,4000
2026,0919,06,04,05,04,馬連,10-5,15.2,1500
2026,0919,06,04,05,04,三連複,10-2-9,5.9,500
2026,0919,06,04,05,04,三連複,10-2-3,6.3,500
2026,0919,06,04,05,04,三連複,10-2-6,30.8,3000
2026,0919,06,04,05,04,三連複,10-2-5,11.2,1000
2026,0919,06,04,05,04,三連複,10-3-9,1.9,500
2026,0919,06,04,05,04,三連複,10-6-9,9.3,1000
2026,0919,06,04,05,04,三連複,10-5-9,3.4,500
2026,0919,06,04,05,04,三連複,10-3-6,9.9,1000
2026,0919,06,04,05,04,三連複,10-3-5,3.6,500
2026,0919,06,04,05,04,三連複,10-5-6,17.7,2000
2026,0919,06,04,05,05,馬連,6-2,73.8,7500
2026,0919,06,04,05,05,馬連,6-8,4.8,500
2026,0919,06,04,05,05,馬連,6-7,13.0,1500
2026,0919,06,04,05,05,馬連,6-9,4.5,500
2026,0919,06,04,05,05,馬連,6-4,3.8,500
2026,0919,06,04,05,05,三連複,6-2-8,16.5,1500
2026,0919,06,04,05,05,三連複,6-2-7,44.4,4500
2026,0919,06,04,05,05,三連複,6-2-9,15.4,1500
2026,0919,06,04,05,05,三連複,6-2-4,13.1,1500
2026,0919,06,04,05,05,三連複,6-7-8,2.9,500
2026,0919,06,04,05,05,三連複,6-8-9,1.0,500
2026,0919,06,04,05,05,三連複,6-4-8,0.9,500
2026,0919,06,04,05,05,三連複,6-7-9,2.7,500
2026,0919,06,04,05,05,三連複,6-4-7,2.3,500
2026,0919,06,04,05,05,三連複,6-4-9,0.8,500
2026,0919,06,04,05,06,馬連,10-9,29.0,3000
2026,0919,06,04,05,06,馬連,10-12,29.4,3000
2026,0919,06,04,05,06,馬連,10-3,16.4,1500
2026,0919,06,04,05,06,馬連,10-1,6.2,500
2026,0919,06,04,05,06,馬連,10-11,19.0,2000
2026,0919,06,04,05,06,三連複,10-9-12,22.4,2000
2026,0919,06,04,05,06,三連複,10-3-9,12.5,1000
2026,0919,06,04,05,06,三連複,10-1-9,4.7,500
2026,0919,06,04,05,06,三連複,10-9-11,14.4,1500
2026,0919,06,04,05,06,三連複,10-3-12,12.7,1500
2026,0919,06,04,05,06,三連複,10-1-12,4.8,500
2026,0919,06,04,05,06,三連複,10-11-12,14.6,1500
2026,0919,06,04,05,06,三連複,10-1-3,2.7,500
2026,0919,06,04,05,06,三連複,10-3-11,8.2,1000
2026,0919,06,04,05,06,三連複,10-1-11,3.1,500
2026,0919,06,04,05,07,馬連,2-14,31.2,3000
2026,0919,06,04,05,07,馬連,2-6,24.6,2500
2026,0919,06,04,05,07,馬連,2-5,21.6,2000
2026,0919,06,04,05,07,馬連,2-11,12.8,1500
2026,0919,06,04,05,07,馬連,2-3,9.8,1000
2026,0919,06,04,05,07,三連複,2-6-14,20.0,2000
2026,0919,06,04,05,07,三連複,2-5-14,17.5,2000
2026,0919,06,04,05,07,三連複,2-11-14,10.4,1000
2026,0919,06,04,05,07,三連複,2-3-14,7.9,1000
2026,0919,06,04,05,07,三連複,2-5-6,13.8,1500
2026,0919,06,04,05,07,三連複,2-6-11,8.2,1000
2026,0919,06,04,05,07,三連複,2-3-6,6.3,500
2026,0919,06,04,05,07,三連複,2-5-11,7.2,500
2026,0919,06,04,05,07,三連複,2-3-5,5.5,500
2026,0919,06,04,05,07,三連複,2-3-11,3.2,500
2026,0919,06,04,05,08,馬連,6-5,28.9,3000
2026,0919,06,04,05,08,馬連,6-12,14.0,1500
2026,0919,06,04,05,08,馬連,6-7,27.3,2500
2026,0919,06,04,05,08,馬連,6-9,13.5,1500
2026,0919,06,04,05,08,馬連,6-1,16.2,1500
2026,0919,06,04,05,08,三連複,6-5-12,10.4,1000
2026,0919,06,04,05,08,三連複,6-5-7,20.3,2000
2026,0919,06,04,05,08,三連複,6-5-9,10.1,1000
2026,0919,06,04,05,08,三連複,6-1-5,12.1,1000
2026,0919,06,04,05,08,三連複,6-7-12,9.9,1000
2026,0919,06,04,05,08,三連複,6-9-12,4.9,500
2026,0919,06,04,05,08,三連複,6-1-12,5.9,500
2026,0919,06,04,05,08,三連複,6-7-9,9.5,1000
2026,0919,06,04,05,08,三連複,6-1-7,11.4,1000
2026,0919,06,04,05,08,三連複,6-1-9,5.6,500
2026,0919,06,04,05,09,馬連,2-6,39.4,4000
2026,0919,06,04,05,09,馬連,2-9,16.3,1500
2026,0919,06,04,05,09,馬連,2-4,9.7,1000
2026,0919,06,04,05,09,馬連,2-3,22.3,2000
2026,0919,06,04,05,09,馬連,2-1,12.2,1000
2026,0919,06,04,05,09,三連複,2-6-9,17.3,1500
2026,0919,06,04,05,09,三連複,2-4-6,10.3,1000
2026,0919,06,04,05,09,三連複,2-3-6,23.7,2500
2026,0919,06,04,05,09,三連複,2-1-6,12.9,1500
2026,0919,06,04,05,09,三連複,2-4-9,4.3,500
2026,0919,06,04,05,09,三連複,2-3-9,9.8,1000
2026,0919,06,04,05,09,三連複,2-1-9,5.4,500
2026,0919,06,04,05,09,三連複,2-3-4,5.8,500
2026,0919,06,04,05,09,三連複,2-1-4,3.2,500
2026,0919,06,04,05,09,三連複,2-1-3,7.3,500
2026,0919,06,04,05,10,馬連,9-2,29.6,3000
2026,0919,06,04,05,10,馬連,9-12,23.3,2500
2026,0919,06,04,05,10,馬連,9-11,22.9,2500
2026,0919,06,04,05,10,馬連,9-10,6.6,500
2026,0919,06,04,05,10,馬連,9-1,17.6,2000
2026,0919,06,04,05,10,三連複,9-2-12,17.9,2000
2026,0919,06,04,05,10,三連複,9-2-11,17.7,2000
